	가게	주소	테마
134	김지순의 낭푼밥상	제주특별자치도 제주시 연동6길 28	"#한식코스 #한식 #향토음식
#제주요리 #전통주 #음식"
135	노을언덕	제주특별자치도 제주시 서해안로 360	"#카페 #커피 #아이스크림
#음식 #디저트 #아메리카노 #카페라떼 #카페모카 #에이드 #스무디"
136	다가미	제주특별자치도 제주시 도남로 111	"#김밥 #왕김밥 #샌드위치
#분식 #음식 #식혜 #멸치김밥"
137	레이지박스	제주특별자치도 서귀포시 안덕면 산방로 208	"#카페 #커피 #당근케이크
#디저트 #당근 #케이크 #음식 #아메리카노 #카페모카 #녹차라떼 #빵"
138	리치망고우도점	제주특별자치도 제주시 우도면 우도해안길 1132	"#망고음료 #카페 #스페셜망고쉐이크
#음식 #우도 #망고빙수 #망고스무디 #망고에이드 #망고주스 #망고요거트"
139	메콩스카이	제주특별자치도 제주시 연오로 35	"#동남아식 #베트남요리 #쌀국수
#음식 #소고기쌀국수 #분짜"
140	명리동식당	제주특별자치도 제주시 한경면 녹차분재로 498	"#자투리고기 #뒷고기 #한식
#음식 #흑돼지 #흑돼지구이 #돼지구이 #삼겹살 #목살 #김치찌개 #냉면"
141	문동일셰프녹차고을	제주특별자치도 제주시 애월읍 하귀동남4길 13-1	"#칼국수 #전복구이 #고사리육개장
#흑돼지안심 #떡갈비 #한식대첩 #우수관광사업체 #음식"
142	미영이네식당	제주 서귀포시 대정읍 하모항구로 42	"#고등어회 #해물탕 #방어회
#음식 #방어 #고등어구이 #고등어"
143	민경이네어등포해녀촌	제주특별자치도 제주시 구좌읍 해맞이해안로 830	"#우럭정식 #물회국수 #우럭튀김
#음식 #옥돔구이 #옥돔 #갈치 #갈치조림 #제주갈치조림 #갈치국"
144	바다풍경횟집	제주특별자치도 제주시 서해안로 654	"#횟집 #활어회 #소라
#문어 #갈치 #갈치구이 #갈치조림 #갈치회 #회 #해산물 #간장게장 #해물뚝배기 #문어숙회 #고등어회"
145	백양닭집	제주특별자치도 제주시 서문로6길 7	"#치킨 #후라이드치킨 #통닭
#음식 #양념치킨"
146	버터모닝	제주특별자치도 제주시 애월읍 하광로 279	"#카페 #빵집 #치즈타르트
#음식 #빵 #에그타르트 #카페라떼 #눈꽃우유빙수 #생크림케익"
147	보스코화덕피자	제주특별자치도 제주시 수목원길 27	"#샐러드 #피자 #화덕피자
#돈까스 #양식 #음식 #고르곤졸라화덕피자"
148	봉끄랑	제주특별자치도 제주시 우도면 우도해안길 144	"#버거 #수제버거 #땅콩빵
#음식 #빵 #햄버거 #아메리카노 #에이드 #스무디"
149	부두식당	제주특별자치도 서귀포시 대정읍 하모항구로 62	"#조림 #갈치조림 #우럭조림
#쥐치조림 #방어 #음식 #방어회 #제주갈치조림 #고등어회 #고등어구이"
150	붉은제주	제주특별자치도 제주시 애월읍 애월로 37	"#삼합 #전복 #두루치기
#음식 #고등어구이 #고등어"
151	삼다도횟집	제주특별자치도 제주시 서해안로 572	"#광어회 #참돔 #고등어회
#한식 #횟집 #갈치조림 #고등어조림 #갈치회 #고등어구이 #갈치구이 #초밥 #해산물 #방어 #방어회 #회"
152	삼대국수회관 신제주점	제주특별자치도 제주시 신대로20길 32	"#고기국수 #비빔국수 #멸치국수
#국수 #음식 #만두 #돔베고기 #국밥"
153	서귀포네거리식당	제주특별자치도 서귀포시 서문로29번길 20	"#갈치조림 #갈치국 #갈치구이
#음식 #갈치 #제주갈치조림 #제주갈치구이"
154	안녕육지사람	제주특별자치도 제주시 우도면 우도해안길 792	"#땅콩잼 #땅콩아이스크림 #음료
#흑돼지버거 #에이드 #음식 #아이스크림"
155	앞뱅디식당	제주특별자치도 제주시 선덕로 32	"#각재기국 #멜국 #고등어구이
#한식 #향토음식 #음식"
